Employee_ID,Programming_Skill,Networking_Skill,Database_Management,Communication,Teamwork_Collaboration,Emotional_Intelligence,Leadership,Team_Building,Risk_Management
1,47,12,27,60,37,87,78,49,11
2,23,37,88,83,93,80,24,43,62
3,28,35,68,3,56,24,46,9,73
4,35,38,30,19,47,96,12,24,63
5,64,29,38,4,46,90,9,4,54
6,77,72,85,27,40,74,31,38,43
7,12,18,75,24,91,84,72,66,74
8,15,86,15,45,98,1,63,46,89
9,17,80,32,25,75,40,37,2,57
10,91,40,0,59,47,47,96,66,24
11,0,86,91,19,0,20,50,58,77
12,96,7,61,9,27,97,23,9,2
13,20,98,60,44,55,81,56,7,8
14,63,2,23,4,98,100,65,69,25
15,8,43,97,19,74,83,16,14,20
16,12,3,71,37,43,4,70,39,77
17,99,66,26,73,8,23,32,56,22
18,30,79,99,45,39,91,45,35,31
19,23,28,59,85,97,47,27,74,72
20,26,87,91,84,74,1,37,97,32
21,88,40,2,48,76,18,68,3,71
22,44,38,85,25,6,14,68,47,5
23,0,35,62,85,11,52,19,10,55
24,68,41,38,24,62,23,60,96,89
25,70,4,27,95,31,59,62,35,83
26,89,17,25,73,40,93,88,82,57
27,80,30,54,3,38,30,31,54,89
28,93,46,14,86,81,63,43,14,94
29,92,80,45,17,44,10,45,94,58
30,97,99,39,4,32,58,40,80,61
31,34,42,56,58,58,62,72,47,81
32,16,2,23,13,60,17,70,41,94
33,97,13,36,84,88,77,79,19,94
34,95,18,62,84,92,70,26,30,28
35,61,4,76,63,21,64,28,34,44
36,23,74,75,25,62,10,72,62,16
37,26,66,76,76,31,18,67,92,79
38,75,4,98,0,30,8,28,98,22
39,86,31,92,15,76,56,18,17,57
40,69,67,72,4,45,100,10,47,68
41,19,92,66,9,62,92,85,99,40
42,69,75,38,90,40,89,21,26,21
43,41,66,5,43,59,43,79,76,61
44,79,99,60,91,46,4,89,99,82
45,9,54,76,86,24,30,40,81,35
46,76,59,15,49,18,45,95,11,11
47,5,31,49,7,94,79,91,67,33
48,39,45,34,62,35,84,82,45,47
49,20,14,13,41,63,68,32,7,78
50,58,28,69,1,8,42,2,19,48
51,81,5,52,1,49,17,43,72,79
52,95,70,97,37,46,48,28,64,96
53,74,85,39,42,90,15,96,62,13
54,39,46,32,78,66,77,39,11,32
55,78,74,84,42,41,52,24,45,48
56,0,23,18,72,98,96,75,27,55
57,37,80,4,32,5,91,89,88,65
58,59,35,17,48,89,62,46,60,89
59,74,14,36,38,17,97,56,80,20
60,48,6,99,92,11,17,64,75,59
61,45,13,34,95,4,82,28,94,77
62,6,28,0,13,27,1,5,4,4
63,45,86,54,54,50,83,27,40,24
64,18,60,91,26,37,63,15,38,15
65,34,75,89,99,63,42,39,11,50
66,5,34,72,61,45,6,66,40,28
67,5,44,68,75,64,40,58,65,3
68,40,76,79,69,39,89,5,6,48
69,17,53,55,35,64,32,2,3,83
70,95,26,69,4,49,10,27,14,56
71,27,32,92,7,6,11,13,3,4
72,19,96,55,10,7,54,33,33,34
73,83,10,45,100,58,45,35,32,40
74,37,9,39,82,90,76,87,90,70
75,88,12,78,96,45,46,9,9,61
76,39,77,60,33,39,79,82,83,83
77,40,80,94,52,45,25,76,63,79
78,41,96,41,76,2,39,45,44,95
79,53,72,10,84,85,26,15,2,72
80,78,37,34,36,82,27,5,13,85
81,83,3,26,42,55,91,76,28,57
82,66,30,63,34,62,12,19,12,69
83,64,44,95,11,16,81,24,40,54
84,90,70,91,37,65,80,57,54,74
85,90,30,73,20,30,86,36,27,20
86,84,29,90,20,36,35,8,9,5
87,91,88,10,79,55,8,51,1,12
88,26,62,54,28,51,51,62,90,67
89,66,37,96,8,28,14,88,82,37
90,11,25,96,23,47,99,57,21,65
91,78,78,54,54,75,41,94,2,21
92,9,68,64,96,20,7,25,55,99
93,42,58,53,45,13,7,58,51,6
94,46,7,47,65,11,64,52,52,62
95,50,81,51,70,56,32,27,6,6
96,81,94,75,100,21,43,97,90,75
97,42,62,98,72,11,3,38,2,76
98,81,12,87,0,18,56,33,37,67
99,69,6,80,82,25,12,61,90,34
100,24,37,44,55,53,63,8,58,26
